"","WEEK","2009-10","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","2017-18","2018-19"
"40",40,5.66086706432251,1.13505294815033,1.20344598050328,1.20559230576747,1.13249236091362,1.20612210946598,1.24324652010981,1.27385846381862,1.28019766834315,1.41965160760014
"41",41,6.81522217746091,1.25256288275733,1.237772842231,1.31929102718456,1.21120820924842,1.32485420207014,1.32339500531087,1.29341776558758,1.33123284784692,1.47352121987597
"42",42,7.61889213445467,1.24569557124609,1.25258649425468,1.32736593415964,1.25681590913379,1.41192134104741,1.40398676975174,1.33097479451138,1.40785939300505,1.58657748576323
"43",43,7.38835858754422,1.26773796327349,1.30546118350996,1.36687926171235,1.37097242677839,1.42546682530957,1.37629212305758,1.4266216993582,1.572197760075,1.74180833894924
"44",44,6.33927231286655,1.437229459813,1.4529524411794,1.50534649099528,1.42955643957889,1.43909360361287,1.46865671641791,1.5707098492278,1.70325503422675,1.83998890074298
"45",45,4.94349498118813,1.5334124693824,1.44089221008249,1.61273287855131,1.53587947817875,1.61531994482283,1.53299704792853,1.65146243264656,1.86635901825422,1.92837465564738
"46",46,3.80996119744316,1.69445439737344,1.46221154349958,1.75207772264621,1.60267069587922,1.66473304131644,1.60840895861365,1.73308838407799,2.07646852384069,2.09607665768922
"47",47,3.44105879673017,1.99150243929784,1.6557342783427,2.33364979642291,1.73267185356364,2.00580063010578,1.90046550306532,2.0338808358838,2.33592749854417,2.41198460950121
"48",48,2.6677306488245,1.81304532548548,1.46605805482615,2.22680437161098,2.09858152407325,2.6222679742749,1.73644563821535,1.88330645325929,2.24637064359011,2.25149824503429
"49",49,2.47182503188111,2.01425789718909,1.51810613308364,2.97656509867642,2.21373545627287,2.60749291349339,1.81944668715254,2.00292154230037,2.49504340705651,2.31612495758385
"50",50,2.34499952635979,2.55659128727535,1.66429439238239,3.62552352796255,2.41674152277889,3.41779804389291,1.96571364368184,2.27731345345464,3.20050229456366,2.75457631203016
"51",51,2.71434983173825,3.3818485875399,1.85273556607749,4.55320091403532,3.0307120829657,4.46555388182564,2.42021241894025,2.9146539583339,4.43806808869082,3.22789125063158
"52",52,2.67667182697039,3.43172311428957,2.12412991643416,6.02597950165604,4.3872368925852,6.11496736059042,2.41083345121749,3.54918760663598,5.46360674104399,4.19860450813018
"1",1,1.98283823623218,2.69151110890096,1.76708697362779,4.96367809667696,4.21119772377224,4.07898061114098,1.98858728239108,3.08102046537707,5.35765088051177,3.64749722231123
"2",2,1.82748623353375,2.91062890148727,1.54340053536999,4.6907167404833,3.46491568216874,3.93761696188699,1.98984623157722,3.01874759016715,5.52436771630399,3.153093083045
"3",3,1.92605625070969,3.49231894659839,1.64761538068761,4.70473300362866,3.3169764421014,4.1507623453975,2.10710004318876,3.4044601846956,6.34528215849918,3.36016051685369
"4",4,1.92494717278953,4.00369629756698,1.6842972340241,4.16460101976599,3.24070308846553,3.87898764515643,2.19255524591471,3.52868943582729,7.01810752699883,3.90069707004449
"5",5,2.0887684250423,4.43533676423787,1.8635415027512,3.69532877119905,2.88598373408248,3.45794174404279,2.30014011622118,4.10665125233914,7.78089872389098,4.58346005061876
"6",6,2.03434082648651,4.24214816000394,1.8640792539604,3.23629751089904,2.62171679241623,3.06358599191159,2.67574392784069,4.75510489169359,7.7693942924477,5.25324472971715
"7",7,1.97649460514715,4.39718614718615,2.0183909385917,2.89421170625067,2.34067460827952,2.8264572141675,3.0242691441469,4.65163467522442,6.8117626027887,NA
"8",8,1.99361774638287,3.90255649454925,2.10385099775495,2.71741721538567,2.12058570198105,2.35990451111166,3.11328379980158,4.57049386484898,5.15749195616059,NA
"9",9,1.85382596354543,3.15072751906595,2.09554933637132,2.52296526806588,1.91093510217511,2.33472345662132,3.32788194131902,3.45522335947579,3.55944733026646,NA
"10",10,1.86730358448397,2.7242233550314,2.10398319269405,2.55226801999631,1.9023027675951,2.21285772961517,3.59179758386478,3.29505155123418,3.00517728513854,NA
"11",11,1.69986766366336,2.33335625034544,2.29409954920609,2.43224684956067,1.76619346518493,2.07619040512761,3.09262213211288,3.1642599053851,2.73037901930361,NA
"12",12,1.49740820329748,1.92500030869152,1.92223447184212,2.10851075887865,1.85791424666469,2.01266623971477,2.78802850549473,3.14433309653703,2.4776769683767,NA
"13",13,1.45111877208932,1.75242603550296,1.74238601272422,1.94724795392715,1.82094138483952,1.94192257467162,2.52371413269615,2.87935727238209,2.36313720653497,NA
"14",14,1.20714782732567,1.57703654835006,1.67601375651861,1.74858701118851,1.83452547617824,1.74808618104333,2.12928055991863,2.36977498157364,2.03138994827272,NA
"15",15,1.1741508052025,1.35765577043459,1.49637061804066,1.49712904953479,1.75446179914463,1.50366928264838,2.05141597028784,1.93852767650975,1.80375992587525,NA
"16",16,1.16206676116624,1.31223098887433,1.38201725644386,1.32312810063147,1.51636073423783,1.43493823555449,1.98957333144304,1.64063879708353,1.58695768184001,NA
"17",17,1.17213431214881,1.14937466971992,1.28926265733958,1.22647436812795,1.40333665545451,1.45672878716661,1.78580417332987,1.47519850352222,1.53800625686987,NA
"18",18,1.12167653365951,1.11450565641744,1.3580341930645,1.19613928297546,1.2593015105614,1.42836153815331,1.60143549061669,1.3775536326865,1.44974328712465,NA
"19",19,1.14981162628807,1.10984488859372,1.30833023133768,1.19048722822308,1.32482374084144,1.35296775736955,1.47429789437159,1.3377075662691,1.27728901206054,NA
"20",20,1.13327579756352,1.05240255606501,1.26691883516383,1.17426345740908,1.27575916356071,1.33092830184227,1.42286222139608,1.34685728722703,1.22051291101042,NA
"21",21,1.08171331519166,1.03536473075743,1.27730983437776,1.13341980052912,1.29482848710985,1.28422142554583,1.38196230154049,1.26578910806505,1.23234851177075,NA
"22",22,1.19958601095361,1.11776582185678,1.29909519191303,1.14306185460401,1.22610001569049,1.13889203152695,1.3371187990844,1.25700746003783,1.22300491595023,NA
"23",23,0.95280825954795,0.982949450845439,1.16297060340382,1.00881234623127,1.14538226677631,1.10343202701641,1.13894459804002,1.16048180855913,1.04729892535299,NA
"24",24,0.916032112818763,0.925194441044585,1.08612109727806,1.02358363301043,1.06779717048705,0.970748123220295,1.09641058373172,1.04833626380918,0.978112899517724,NA
"25",25,0.926582172934212,0.835531110760469,1.05679578399989,1.00138481604996,1.0726917505979,0.998680923724963,0.999558627830341,0.992710577140294,0.947547531595627,NA
"26",26,0.869619711871655,0.832392665156335,1.07871285282822,0.909498008911785,1.01298017155905,0.978057270188321,0.990949697887566,0.961602900617756,0.867554076954682,NA
"27",27,0.903133146199371,0.855591006583932,1.04661812384157,0.950041640751009,0.994704943230078,0.866431373080336,0.931253206982761,0.955818089476489,0.823280228381987,NA
"28",28,0.773775692770479,0.706949421103229,0.928151912601564,0.829298700152436,0.880861597428782,0.827756880835304,0.843118242435513,0.827597481674746,0.771497436055667,NA
"29",29,0.742774403429925,0.694386798735934,0.901935750567482,0.802109321407083,0.858172731953976,0.797572455647316,0.8402857371325,0.811885997318228,0.706819106349034,NA
"30",30,0.730934475995922,0.687976167789959,0.915356025600551,0.806333326348794,0.805151618582866,0.811220741883829,0.83006504002009,0.818526652026353,0.685155178860775,NA
"31",31,0.786881828762007,0.644742988772371,0.952548005908419,0.796936940262542,0.818781271745253,0.82116473051699,0.790428182995475,0.829758152344206,0.687350882092133,NA
"32",32,0.763050679663405,0.675329853490035,0.916661499122733,0.779136353641865,0.783734534707182,0.819434572893449,0.830825893504778,0.828502509106785,0.735732550359581,NA
"33",33,0.841043206314339,0.728229710042765,0.901787148952884,0.797652971199905,0.848702575761191,0.848041128273393,0.856795535875567,0.885895626927839,0.806047886914083,NA
"34",34,0.791572794251964,0.806526256567545,1.03315135558004,0.825485453137399,0.834145727853077,0.888523914476427,1.00746424789414,1.05351167920546,0.944012808563793,NA
"35",35,0.912731760403811,0.860408443202463,1.05237909633316,0.935468761859978,0.905980502437195,0.962825536916924,1.05868162884614,1.1176817153351,0.960100946133259,NA
"36",36,1.03397647058824,0.936075368362092,1.12713373971732,1.04344600547132,1.04506203868284,1.02251765427257,1.10027943077194,1.14027549133265,1.14128046158986,NA
"37",37,0.934009119726069,0.966682699904669,1.18659924065364,1.09107217440722,1.16816051358831,1.08392016257268,1.14569819498916,1.13325736433051,1.14784310416006,NA
"38",38,1.08188875532238,0.996007075721857,1.21415306638671,1.2010764077173,1.27649429397859,1.17723642831602,1.21889622422121,1.17589060358631,1.31155573320642,NA
"39",39,1.06562601148547,1.10846351885941,1.25198052510376,1.26178916411024,1.29758278779974,1.1716013421334,1.31112817145024,1.23847835902641,1.26102472324328,NA
